ticker,E_score,S_score,G_score,ESG_score,Sectors,Market_Cap,Beta_1Y,Risk_Score,Risk_Category
ACB,26.8,66.44,21.12,38.12,Health Care,704395399.3,1.84050534,61.88,High
ABCL,8.21,5.17,35.03,16.13,Health Care,2296124255,1.279396724,83.87,High
BEAT,8.79,5.17,31.16,15.04,Health Care,12584856.42,2.40016555,84.96,High
AMTB,36.58,38.93,47.97,41.16,Financials,907868329.2,0.803438851,58.84,High
ASO,30.34,12.01,55.85,32.73,Consumer,3297059690,1.585886589,67.27,High
APEI,65.15,75.58,72.9,71.21,Consumer,367321737,0.616508428,28.79,Medium
BLDP,98.83,75.58,82.22,85.55,Industrials,2533889721,1.626713013,14.45,Low
AWRE,59.17,30.98,49.95,46.7,Information Technology,58650524.6,0.547713754,53.3,High
AAL,96.3,99.95,73.3,89.85,Industrials,12054995579,1.579914953,10.15,Low
ACLS,93.11,87.72,94.17,91.67,Information Technology,1858554457,2.425801216,8.33,Low
ALGT,48.58,79.99,19.86,49.48,Industrials,2821396384,1.427837436,50.52,High
AUBN,16.92,38.93,39.46,31.77,Financials,107408294.3,0.184227501,68.23,High
AZN,97.52,94.43,60.94,84.3,Health Care,2.06E+11,0.267881793,15.7,Low
ADES,80.5,24.21,35.92,46.88,Utilities,112480770,0.538962779,53.12,High
BGFV,39.92,70.74,56.08,55.58,Consumer,338656041.2,1.67030943,44.42,Medium
ARTL,8.79,5.17,33.28,15.75,Health Care,16302810.41,1.521061753,84.25,High
ADUS,66.21,45.59,70.47,60.76,Health Care,1354980408,1.259483026,39.24,Medium
AKBA,29.33,54.03,67.22,50.19,Health Care,79010988.79,1.66454152,49.81,Medium
AVGR,5.32,30.98,17.07,17.79,Health Care,14331952.8,1.166444718,82.21,High
BCBP,28.17,16.13,60.28,34.86,Financials,320148400,0.392393229,65.14,High
ATEC,32.17,83.84,66.97,60.99,Health Care,1119662379,1.603459031,39.01,Medium
BBBY,95.69,79.58,95.09,90.12,Consumer,1095484225,1.726602288,9.88,Low
ANGO,33.23,30.98,62.36,42.19,Health Care,819035733.1,1.148859607,57.81,High
AGNC,73.56,2.08,42.35,39.33,Financials,5860960000,0.657470799,60.67,High
AMAT,99.49,99.42,86.63,95.18,Information Technology,99797092368,1.897002842,4.82,Low
APTO,12.74,5.17,41.03,19.65,Health Care,110670526.8,1.512014777,80.35,High
ARCB,88.91,98.73,82.88,90.17,Industrials,1858943598,1.791599916,9.83,Low
ALRM,76.75,30.98,0.91,36.21,Information Technology,3119935675,1.227218178,63.79,High
ATRA,54.61,83.84,30.55,56.33,Health Care,648235738.4,1.517869692,43.67,Medium
ABCM,83.99,94.43,11.5,63.31,Health Care,3576057108,0.920360301,36.69,Medium
ACBI,28.22,75.58,36.07,46.62,Financials,11613679733,0.780660238,53.38,High
BECN,92.76,88.6,68.54,83.3,Industrials,4265046402,1.228593673,16.7,Low
AMNB,27.81,38.93,84.09,50.28,Financials,372952878,0.553169586,49.72,Medium
BLFS,24.21,54.03,47.01,41.75,Health Care,558756122.7,1.826271244,58.25,High
BJRI,51.11,54.03,95.44,66.86,Consumer,683246587.7,1.347847594,33.14,Medium
APEN,17.12,54.03,48.07,39.74,Health Care,202485109.3,1.044606991,60.26,High
AZPN,83.38,54.03,66.01,67.81,Information Technology,10550248611,0.658013023,32.19,Medium
AUTL,2.84,19.58,19.55,13.99,Health Care,294541728.8,0.693039166,86.01,High
ACNB,26.65,30.98,94.12,50.58,Financials,296909654.8,0.413894495,49.42,Medium
AMTX,55.78,30.98,67.78,51.51,Utilities,311096953,1.740352524,48.49,Medium
BGNE,81,93.03,68.34,80.79,Health Care,18705400570,1.433571751,19.21,Low
AFMD,18.39,54.03,40.32,37.58,Health Care,589714349.4,1.243048219,62.42,High
AAME,52.08,63.8,5.62,40.5,Financials,60728156.48,0.43776281,59.5,High
AXDX,13.98,54.03,29.43,32.48,Health Care,68302870.33,1.071662848,67.52,High
ALIM,19.4,66.44,66.77,50.87,Health Care,38459597,0.717883044,49.13,Medium
AGRX,4.1,54.03,43.16,33.76,Health Care,7572199.5,1.781892514,66.24,High
ADI,75.43,94.83,67.02,79.09,Information Technology,82762287809,1.370703552,20.91,Medium
AMBA,87.74,73.61,23.25,61.53,Information Technology,3232306792,2.56288053,38.47,Medium
BCEL,11.04,30.98,9.37,17.13,Health Care,80656101.24,1.609121564,82.87,High
ANIK,26.6,22.87,29.94,26.47,Health Care,313761727.2,0.82715497,73.53,High
BBCP,65.5,44.55,26.95,45.67,Industrials,308668407,0.602743064,54.33,High
AVID,66.77,42.43,59.68,56.29,Information Technology,1434791057,1.747345533,43.71,Medium
ALRS,53.9,38.93,70.57,54.47,Financials,434634775.5,0.690733232,45.53,Medium
ASPS,86.27,17.15,38.2,47.21,Financials,168919440.1,0.930695735,52.79,High
AKTS,4.71,23.35,27.25,18.44,Information Technology,251272963,2.052747844,81.56,High
ATEX,85.66,43.29,47.37,58.77,Communication Services,961560505.5,0.476948505,41.23,Medium
APVO,13.68,54.03,60.64,42.78,Health Care,22432439.68,1.473334048,57.22,High
ARTNA,71.63,15.02,54.15,46.94,Utilities,433062000.2,0.365709912,53.06,High
ADVM,5.78,54.03,28.88,29.56,Health Care,109630591.9,0.945791202,70.44,High
BELFA,83.21,68.54,76.06,75.94,Information Technology,218459606.7,0.623874733,24.06,Medium
BLI,23.05,5.17,35.03,21.08,Health Care,366229036.8,2.072825009,78.92,High
ARDX,7.45,66.44,71.53,48.47,Health Care,114272107.8,0.317809349,51.53,High
ACER,1.98,5.17,41.03,16.06,Health Care,30194614.84,0.823337893,83.94,High
APLS,21.07,54.03,67.48,47.53,Health Care,4787059665,1.361598446,52.47,High
AUTO,20.52,23.73,86.58,43.61,Communication Services,36954521.87,1.237653235,56.39,High
ACOR,26.39,66.44,46.25,46.36,Health Care,17404183.16,1.203248118,53.64,High
AXGN,78.72,54.03,59.12,63.96,Health Care,314826645,1.833026696,36.04,Medium
BHF,74.87,63.8,86.52,75.07,Financials,3970061679,1.443992316,24.93,Medium
ATRC,32.88,75.58,87.23,65.23,Health Care,2533204755,1.542372889,34.77,Medium
AZTA,90.78,87.72,91.08,89.86,Health Care,5629186362,1.708418867,10.14,Low
AFRM,40.73,8.59,45.67,31.66,Information Technology,8636113761,3.218816453,68.34,High
BBGI,65.35,69.88,15.2,50.14,Communication Services,48470170.65,0.793244534,49.86,Medium
ALJJ,54.15,30.98,16.82,33.98,Information Technology,100933015.4,1.019158079,66.02,High
AAOI,85.16,23.35,61.09,56.53,Information Technology,71304106.37,1.067511523,43.47,Medium
BCML,25.99,19.58,93.97,46.51,Financials,303016787.6,0.208774247,53.49,High
AMWD,73.76,62.46,79.48,71.9,Industrials,795886830.6,1.216395475,28.1,Medium
BKNG,56.28,89.77,84.65,76.9,Consumer,89371741901,1.286177144,23.1,Medium
ADMA,22.64,41.13,9.32,24.37,Health Care,370613458.5,0.793276758,75.63,High
AMCX,67.98,23.73,18.29,36.67,Communication Services,1430914759,1.209202849,63.33,High
ABEO,3.34,66.44,12.11,27.3,Health Care,31697490.22,1.292036881,72.7,High
AGTC,1.01,30.98,61.65,31.21,Health Care,46725436.32,1.189743504,68.79,High
AMOT,81.97,80.4,49.65,70.67,Industrials,372410479.7,1.375167873,29.33,Medium
ALBO,17.43,66.44,60.18,48.02,Health Care,629817962.4,0.866143752,51.98,High
ANIP,29.43,41.13,36.63,35.73,Health Care,520925993.1,0.726391675,64.27,High
ATHE,13.22,66.44,3.9,27.85,Health Care,28710002.04,0.642243272,72.15,High
AEHL,13.42,13.88,57.35,28.22,Industrials,6695080.44,1.472626146,71.78,High
ASRT,49.54,54.03,31.05,44.88,Health Care,99731066.6,1.691677613,55.12,High
APWC,29.28,72.04,2.58,34.63,Industrials,29481204.61,0.737931776,65.37,High
ALT,4.26,54.03,48.38,35.55,Health Care,204011059,1.174871203,64.45,High
APLT,11.04,30.98,77.96,39.99,Health Care,53785708.55,1.752804103,60.01,High
BELFB,83.21,68.54,76.06,75.94,Information Technology,218459606.7,1.14920558,24.06,Medium
ACET,6.84,30.98,82.67,40.16,Health Care,611422391.4,1.75352213,59.84,High
AVNW,62.11,8.59,43.97,38.22,Information Technology,348808357.4,1.275815848,61.78,High
ARTW,59.37,13.88,79.58,50.95,Industrials,13163675.48,0.186894888,49.05,Medium
ARGX,36.42,5.17,62.66,34.75,Health Care,15729137464,0.843430844,65.25,High
AXNX,28.93,30.98,59.83,39.91,Health Care,2710908780,1.672843828,60.09,High
AVAV,84.6,90.55,21.53,65.56,Industrials,2135905768,0.55031373,34.44,Medium
BIDU,43.41,83.84,5.93,44.39,Communication Services,44182088592,1.401118951,55.61,High
BAND,66.06,54.03,32.83,50.97,Communication Services,587481844,1.149596772,49.03,Medium
ACRS,5.22,30.98,49.04,28.41,Health Care,799555325.8,1.063670555,71.59,High
BBI,0.96,30.98,4.31,12.08,Health Care,26919577.99,0.953357224,87.92,High
BLIN,58.97,8.59,50.96,39.51,Information Technology,14898242.96,1.334224515,60.49,High
ALTM,44.43,72.67,10.54,42.54,Utilities,4749871182,,57.46,High
ALKS,84.55,83.84,46.61,71.66,Health Care,4719770114,0.751753574,28.34,Medium
AFYA,44.93,99.01,37.69,60.55,Consumer,1370091748,0.873813776,39.45,Medium
ATHX,4.56,54.03,9.07,22.55,Health Care,143599294.8,0.827656974,77.45,High
ABMD,85.51,83.84,57.29,75.55,Health Care,13012661950,1.495345675,24.45,Medium
AMD,69.96,98.07,71.12,79.72,Information Technology,1.46E+11,2.02999873,20.28,Medium
AAON,83.33,30.98,46.2,53.5,Industrials,2602239701,0.851582138,46.5,Medium
AGYS,64.08,68.54,48.43,60.35,Information Technology,931483173.1,1.549297509,39.65,Medium
ANSS,87.39,98.28,51.42,79.03,Information Technology,24361203576,1.505598084,20.97,Medium
BCOR,40.48,38.93,85.51,54.97,Financials,1000548567,1.034561733,45.03,Medium
AMZN,85.97,97.16,91.89,91.68,Consumer,1.27E+12,1.35250354,8.32,Low
ATRI,23.71,17.4,79.43,40.18,Health Care,1146891946,0.455638692,59.82,High
ADMP,2.79,16.13,21.73,13.55,Health Care,63397064.4,0.331522447,86.45,High
APOG,75.48,71.28,75.18,73.98,Industrials,997135990.6,1.206961602,26.02,Medium
AEHR,58.31,8.59,50.96,39.29,Information Technology,219421040.1,2.274228226,60.71,High
BFIN,20.97,16.13,59.07,32.06,Financials,133761622.8,0.370713657,67.94,High
ALCO,49.09,30.98,29.99,36.69,Consumer,298194721.8,0.254521801,63.31,High
AVRO,11.04,30.98,19.05,20.36,Health Care,40589650.98,1.514507283,79.64,High
ACGL,69.45,85.99,60.44,71.96,Financials,17238533279,0.753266116,28.04,Medium
BIGC,65.25,8.59,45.67,39.83,Information Technology,1364550995,2.307175626,60.17,High
APYX,49.04,54.03,39.77,47.61,Health Care,130483965.7,1.663392713,52.39,High
AVCO,2.03,30.98,51.87,28.29,Health Care,48655514.24,1.043841505,71.71,High
AXON,78.88,83.84,36.27,66.33,Industrials,8253921484,1.456543838,33.67,Medium
ASRV,22.75,38.93,62.41,41.36,Financials,67580881.8,0.049976402,58.64,High
BBIO,53.29,75.58,15.5,48.13,Health Care,1243574791,0.778207728,51.87,High
AMPH,34.8,30.98,57.4,41.06,Health Care,1723542151,0.098187561,58.94,High
ARVN,17.88,54.03,32.73,34.88,Health Care,2980483830,1.08685752,65.12,High
ARKR,24.72,30.98,1.98,19.22,Consumer,63040296.5,0.426569091,80.78,High
BLKB,80.29,30.98,51.37,54.21,Information Technology,3119763825,1.350045933,45.79,Medium
BKR,97.92,99.9,69.05,88.96,Utilities,31687910517,0.181904896,11.04,Low
BANF,46.86,30.98,92.65,56.83,Financials,2711969395,0.566363979,43.17,Medium
ABNB,43.06,12.01,55.85,36.97,Consumer,98641312331,1.698333637,63.03,High
ATLC,54,30.98,7.19,30.72,Financials,679304230.9,1.922535777,69.28,High
ALTO,63.93,94.02,83.94,80.63,Utilities,423011889.1,1.314710843,19.37,Low
ACRX,3.29,30.98,56.79,30.35,Health Care,35894597.71,1.194988947,69.65,High
AMED,68.19,66.44,93.21,75.95,Health Care,4132839402,1.353468223,24.05,Medium
AIMC,80.95,72.04,82.73,78.57,Industrials,2539907147,1.455708729,21.43,Medium
APPF,66.26,54.03,62.72,61,Information Technology,3644824406,1.096313641,39,Medium
ALLK,46.96,54.03,26.85,42.61,Health Care,214115478.7,0.483372805,57.39,High
AEIS,92.91,93.03,89.01,91.65,Information Technology,2922817022,1.500512358,8.35,Low
BCOV,65.1,54.03,65.1,61.41,Information Technology,293357741.3,1.125874684,38.59,Medium
BBQ,28.12,54.03,7.45,29.86,Consumer,147817463.8,0.97524367,70.14,High
AXSM,11.04,54.03,5.32,23.46,Health Care,1324617242,1.451798014,76.54,High
ALDX,11.04,5.17,41.03,19.08,Health Care,177819547.5,1.0783458,80.92,High
BIIB,94.22,94.43,85.26,91.3,Health Care,30507330393,0.636148269,8.7,Low
AVT,98.18,95.57,96.71,96.82,Information Technology,4306787432,1.10088806,3.18,Low
ANTE,59.12,10.56,6.28,25.32,Communication Services,20820605.13,0.856324819,74.68,High
AVDL,13.17,75.58,31.51,40.09,Health Care,296341829.7,0.328532744,59.91,High
ANAB,20.72,30.98,6.33,19.34,Health Care,677874863.3,0.979020788,80.66,High
